#time accidentals,Asymmetry, Asymmetry Err, Fraction, Fraction Err
time accidentals,0.0245,0.0554,0.0565,0.0089

#Nitrogen, Fraction, Fraction Err
Nitrogen,0.0138,0.0134

#pion,Asymmetry, Asymmetry Err, Fraction, Fraction Err
pion,0.0002,0.0035,0.0101,0.0020

#Inelastic,Asymmetry, Asymmetry Err, Fraction, Fraction Err
Inelastic,0.0036,0.0038,0.5425,0.0332
